gene_id,gene_symbol,pathway_id,pathway_name,degree
hsa:55902,ACSS2,path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),5
hsa:57818,G6PC2,path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),6
hsa:669,BPGM,path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),18
hsa:7167,TPI1,path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),5
hsa:80201,HKDC1,path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),9
hsa:83440,ADPGK,path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),9
hsa:84532,ACSS1,path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),5
hsa:8789,FBP2,path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),3
hsa:92483,LDHAL6B,path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),5
hsa:92579,G6PC3,path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),6
hsa:9562,MINPP1,path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),6
hsa:1431,CS; citrate synthase,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),12
hsa:1737,DLAT,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),9
hsa:1738,DLD,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),6
hsa:1743,DLST,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),6
hsa:2271,FH,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),5
hsa:3417,IDH1,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),10
hsa:3418,IDH2,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),10
hsa:3419,IDH3A,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),9
hsa:3420,IDH3B,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),9
hsa:3421,IDH3G,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),9
hsa:4190,MDH1,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),8
hsa:4191,MDH2,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),8
hsa:47,ACLY,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),12
hsa:48,ACO1,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),6
hsa:4967,OGDH,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),10
hsa:50,ACO2,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),6
hsa:5091,PC,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),9
hsa:5105,PCK1,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),8
hsa:5106,PCK2,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),8
hsa:5160,PDHA1,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),8
hsa:5161,PDHA2,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),8
hsa:5162,PDHB,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),8
hsa:55753,OGDHL,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),10
hsa:6389,SDHA,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),7
hsa:6390,SDHB,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),7
hsa:6391,SDHC,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),7
hsa:6392,SDHD,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),7
hsa:8801,SUCLG2,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),10
hsa:8802,SUCLG1,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),10
hsa:8803,SUCLA2,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),10
hsa:132158,GLYCTK,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),2
hsa:2203,FBP1,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),5
hsa:221823,PRPS1L1,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),10
hsa:226,ALDOA,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),8
hsa:229,ALDOB,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),8
hsa:22934,RPIA,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),11
hsa:230,ALDOC,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),8
hsa:23729,SHPK,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),3
hsa:2539,G6PD,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),10
hsa:25796,PGLS,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),7
hsa:2821,GPI,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),12
hsa:414328,IDNK,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),6
hsa:51071,DERA,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),8
hsa:5211,PFKL,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),5
hsa:5213,PFKM,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),5
hsa:5214,PFKP,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),5
hsa:5226,PGD,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),14
hsa:5236,PGM1,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),6
hsa:55276,PGM2,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),15
hsa:5631,PRPS1,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),10
hsa:5634,PRPS2,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),10
hsa:6120,RPE,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),7
hsa:64080,RBKS,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),10
hsa:6888,TALDO1,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),14
hsa:7086,TKT,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),26
hsa:729020,RPEL1; ribulose-phosphate 3-epimerase-like protein 1,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),7
hsa:8277,TKTL1,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),26
hsa:84076,TKTL2; transketolase-like protein 2,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),26
hsa:8789,FBP2,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),5
hsa:9104,RGN,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),2
hsa:9563,H6PD,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),8
hsa:10327,AKR1A1,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),6
hsa:10720,UGT2B11; UDP-glucuronosyltransferase 2B11 precursor,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:10941,UGT2A1,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:231,AKR1B1,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),8
