pathway,gene_symbol,entrez,tdc_idx,weight,matched_via
Androgen,MCCC2,64087,6485,2.80800480204,symbol
EGFR,LZTFL1,54585,4235,-1.873876929252963,symbol
EGFR,PHLDA2,7262,12504,3.5051383414014112,symbol
EGFR,DUSP6,1848,14687,12.629312588446036,symbol
EGFR,DUSP5,1847,12230,7.943039506997307,symbol
EGFR,PHLDA1,22822,14649,6.619626128742468,symbol
EGFR,CRIPT,9419,2710,-2.0449378698683227,symbol
EGFR,DUSP4,1846,9870,6.967179671474087,symbol
EGFR,EPHA2,1969,256,5.4111841020654285,symbol
EGFR,MCCC1,56922,5099,-2.17032352979398,symbol
EGFR,HAS3,3038,17833,2.923737765119489,symbol
EGFR,VAV3,10451,1101,-3.386485036216109,symbol
EGFR,FOSL1,8061,13243,7.647829795338416,symbol
EGFR,SENP7,57337,4581,-2.1103437828969924,symbol
EGFR,BZW1,9689,3592,2.746151949488983,symbol
EGFR,EGR4,1961,2873,2.9530763854223228,symbol
EGFR,POT1,25913,9352,-1.8333008584025583,symbol
EGFR,LAMC2,3918,1882,3.920115723402268,symbol
EGFR,ATG2B,55102,16227,-1.6455804469932764,symbol
EGFR,NR1D2,9975,4089,-3.0832724486774854,symbol
EGFR,LARP7,51574,5867,-0.9170774557824304,symbol
EGFR,MYO1A,4640,14521,0.9947781195140428,symbol
EGFR,GOLPH3L,55204,1367,-2.7415248706060975,symbol
EGFR,NHSL3,57648,524,-2.506941467337292,alias
EGFR,ADORA1,134,1999,1.2678100083900097,symbol
EGFR,RABGAP1,23637,11163,-1.2694002588993438,symbol
EGFR,SYF2,25949,388,-1.4076357524680667,symbol
EGFR,BBIP1,92482,12235,-1.184318958232922,symbol
EGFR,PCMTD2,55251,21990,-2.195375446325962,symbol
EGFR,CHRNA10,57053,12519,0.689980899769992,symbol
EGFR,MARF1,9665,17368,-2.298468517446856,alias
EGFR,RETREG3,162427,18786,-2.1223177844002925,alias
EGFR,PNP,4860,15649,4.643619941645966,symbol
EGFR,ATXN3,4287,16171,-1.2742786737691196,symbol
EGFR,ETFDH,2110,6042,-1.668458754983148,symbol
EGFR,SPOCD1,90853,500,4.295689401219409,symbol
EGFR,NBR1,4077,18817,-1.997203364164864,symbol
EGFR,TRIB1,10221,10330,3.917794383276805,symbol
EGFR,ELF2,1998,5943,-1.3429287000126269,symbol
