idx,gene_symbol,entrez
279,RCC2,55920
280,ARHGEF10L,55160
281,ACTL8,81569
282,LOC101927876,101927876
283,IGSF21,84966
284,KLHDC7A,127707
285,PAX7,5081
286,TAS1R2,80834
287,ALDH4A1,8659
288,IFFO2,126917
289,UBR4,23352
290,EMC1,23065
291,MRTO4,51154
292,AKR7L,246181
293,AKR7A3,22977
294,LOC100506730,100506730
295,AKR7A2,8574
296,PQLC2,54896
297,CAPZB,832
298,MINOS1,440574
299,MINOS1-NBL1,100532736
300,RPS14P3,644068
301,NBL1,4681
302,HTR6,3362
303,TMCO4,255104
304,RNF186,54546
305,OTUD3,23252
306,PLA2G2E,30814
307,PLA2G2A,5320
308,PLA2G5,5322
309,PLA2G2D,26279
310,PLA2G2F,64600
311,PLA2G2C,391013
312,UBXN10-AS1,101928017
313,UBXN10,127733
314,VWA5B1,127731
315,LINC01141,339505
316,CAMK2N1,55450
317,MUL1,79594
318,FAM43B,163933
319,CDA,978
320,PINK1,65018
321,MIR6084,102464833
322,PINK1-AS,100861548
323,DDOST,1650
324,KIF17,57576
325,SH2D5,400745
326,HP1BP3,50809
327,EIF4G3,8672
328,ECE1,1889
329,LOC100506801,100506801
330,NBPF3,84224
331,ALPL,249
332,RAP1GAP,5909
333,USP48,84196
334,LDLRAD2,401944
335,HSPG2,3339
336,CELA3B,23436
337,CELA3A,10136
338,LOC101928043,101928043
339,LINC00339,29092
340,CDC42,998
341,WNT4,54361
342,ZBTB40,9923
343,EPHA8,2046
344,C1QA,712
345,C1QC,714
346,C1QB,713
347,EPHB2,2048
348,LACTBL1,646262
349,C1orf234,729059
350,KDM1A,23028
351,LUZP1,7798
352,HTR1D,3352
353,LOC100996511,100996511
354,HNRNPR,10236
355,ZNF436,80818
356,ZNF436-AS1,148898
357,TCEA3,6920
358,ASAP3,55616
359,E2F2,1870
360,LOC101928163,101928163
361,ID3,3399
362,MDS2,259283
363,RPL11,6135
364,TCEB3,6924
365,TCEB3-AS1,100506963
366,PITHD1,57095
367,LYPLA2,11313
368,GALE,2582
369,HMGCL,3155
370,FUCA1,2517
371,CNR2,1269
372,PNRC2,55629
373,SRSF10,10772
374,MYOM3,127294
375,IL22RA1,58985
376,IFNLR1,163702
377,LOC284632,284632
378,GRHL3,57822
379,STPG1,90529
380,NIPAL3,57185
381,RCAN3AS,100750325
382,RCAN3,11123
383,LOC100506985,100506985
384,NCMAP,400746
385,SRRM1,10250
386,CLIC4,25932
387,RUNX3,864
388,SYF2,25949
389,RSRP1,57035
390,RHD,6007
391,TMEM50A,23585
392,RHCE,6006
393,TMEM57,55219
394,LDLRAP1,26119
395,MAN1C1,57134
396,SEPN1,57190
397,MTFR1L,56181
398,LOC646471,646471
399,AUNIP,79000
400,PAQR7,164091
